우리종금,-9
HDC현대산업개발,-5771
지누스,-28703
TIGER 200 IT,1911
한화투자증권,720
현대그린푸드,300
미원에스씨,82900
일동제약,21186
대신증권,-2200
ARIRANG 200,6592
해성디에스,30000
세아제강지주,49550
한섬,9700
LX홀딩스,-910
현대홈쇼핑,-14700
쿠쿠홈시스,-15900
효성중공업,-4900
SNT모티브,-5250
LG생활건강우,-368000
세방전지,52200
보령,-806
진원생명과학,9886
부광약품,-8746
영진약품,525
넥센타이어,310
DN오토모티브,20600
한세실업,-2100
드림텍,2761
동아쏘시오홀딩스,6000
쏘카,-890
동원F&B,-127500
KCC글라스,12000
SPC삼립,-1100
파미셀,-2870
화승엔터프라이즈,-5100
삼양홀딩스,22250
-703422,
