삼성전자,14100
LG에너지솔루션,103000
SK하이닉스,5600
삼성바이오로직스,537374
LG화학,67500
삼성SDI,323500
삼성전자우,26200
현대차,73300
NAVER,120500
카카오,105026
기아,29850
POSCO홀딩스,136500
KB금융,-14500
셀트리온,4141
삼성물산,23000
신한지주,-2900
현대모비스,-22500
포스코케미칼,166584
LG전자,40800
SK이노베이션,94500
SK,206500
하나금융지주,-15500
삼성생명,14950
LG,12488
카카오뱅크,-5800
한국전력,-8900
KT&G,-7100
LG생활건강,-506000
고려아연,38500
두산에너빌리티,10537
삼성전기,60800
HMM,30985
SK텔레콤,-20477
엔씨소프트,-203500
S-Oil,8700
현대중공업,3700
삼성에스디에스,-119500
삼성화재,-154500
우리금융지주,-3710
KT,6150
대한항공,7025
크래프톤,-163000
한화솔루션,21151
아모레퍼시픽,59500
기업은행,1460
카카오페이,-39000
하이브,19820
LG이노텍,162900
현대글로비스,-23600
롯데케미칼,-149354
F&F,7900
SK바이오사이언스,58800
메리츠화재,39100
SK바이오팜,-44000
한국조선해양,6500
KODEX 200,6931
메리츠금융지주,33130
넷마블,-6450
CJ제일제당,-97500
SK스퀘어,-14650
삼성중공업,-2010
삼성엔지니어링,3400
강원랜드,-5400
오리온,-58200
한온시스템,-2810
LG디스플레이,650
LG유플러스,-5100
HD현대,13000
맥쿼리인프라,2160
SK아이이테크놀로지,-15000
TIGER CD금리투자KIS(합성),0
한국항공우주,12100
DB손해보험,-16800
현대제철,-600
금호석유,-20000
현대건설,6888
미래에셋증권,-1290
포스코인터내셔널,1000
코웨이,-66000
GS,-12700
한화에어로스페이스,21400
한국타이어앤테크놀로지,-9700
유한양행,-36
메리츠증권,3970
SKC,90000
삼성카드,-2600
두산밥캣,3000
한국금융지주,-5550
롯데지주,-4950
아모레G,-11374
BGF리테일,-9500
팬오션,120
한미약품,-249121
현대미포조선,-2750
TIGER 차이나전기차SOLACTIVE,-370
현대차2우B,15500
KODEX KOFR금리액티브(합성),0
호텔신라,8300
한국가스공사,1000
현대오토에버,23750
NH투자증권,-80
GS리테일,1450
현대로템,300
에스디바이오센서,-18200
삼성증권,5850
이마트,-78800
쌍용C&E,433
일진머티리얼즈,78100
현대해상,-9650
한진칼,-18200
씨에스윈드,27221
롯데쇼핑,-72100
키움증권,16400
제일기획,-6150
한화시스템,3470
한전기술,13800
KODEX 종합채권(AA-이상)액티브,3555
대우조선해양,-4400
KODEX 200선물인버스2X,815
CJ,-25200
한솔케미칼,188200
서울가스,148500
한화생명,650
휠라홀딩스,-700
LG화학우,265000
BNK금융지주,515
동원산업,-12500
신세계,-140000
LS,-18200
에스원,-37900
두산퓨얼셀,16017
OCI,16100
TIGER MSCI Korea TR,2850
한화,6050
한미사이언스,-16167
KCC,-190663
현대차우,42100
HL만도,22300
농심,76500
동서,-14200
KODEX 200TR,2470
CJ대한통운,-53400
DB하이텍,35300
JB금융지주,1340
GS건설,-3550
대한전선,1220
대우건설,4225
삼천리,278600
TIGER 미국나스닥100,31744
영원무역,-7700
대성홀딩스,87820
오뚜기,-264000
KODEX 레버리지,3065
TIGER 200,7788
하이트진로,8800
코스모신소재,7770
효성티앤씨,368500
LIG넥스원,47700
대웅제약,4600
효성첨단소재,256700
TIGER 미국S&P500,2962
쌍용차,3415
LS ELECTRIC,4950
한전KPS,-4250
현대두산인프라코어,4702
금양,12410
두산,33777
녹십자,-6500
효성,-15500
롯데칠성,27000
롯데정밀화학,2250
DL이앤씨,-5003
TIGER 미국필라델피아반도체나스닥,955
현대위아,9600
SK케미칼,110894
현대일렉트릭,-1640
현대백화점,-14600
한미반도체,5015
솔루스첨단소재,46358
LX인터내셔널,16560
TIGER 미국테크TOP10 INDXX,1400
DGB금융지주,-285
LX세미콘,40150
덴티움,47950
동국제강,11615
대웅,38800
DL,-54984
한국앤컴퍼니,-5200
동원시스템즈,1900
TIGER 2차전지테마,13866
GKL,-4600
제주항공,-6788
코오롱인더,7700
KODEX 삼성그룹,3543
KBSTAR 200,7537
KODEX 2차전지산업,13398
한샘,34150
현대엘리베이,-12269
일진하이솔루스,-12800
후성,-1960
에스엘,4571
TIGER TOP10,3645
현대건설기계,-2950
영풍,-24000
아시아나항공,208
KODEX 단기채권PLUS,1805
F&F홀딩스,-13200
롯데제과,-97500
SK가스,9524
솔루엠,-7650
신풍제약,24220
아이에스동서,14000
대한유화,132500
더존비즈온,-11950
코리안리,-1078
대덕전자,9600
TIGER 단기통안채,495
NHN,-6146
하나투어,311
다우기술,-11750
종근당,36731
롯데렌탈,-1450
한국콜마,-11550
롯데관광개발,6580
SK리츠,780
풍산,-6800
SK네트웍스,-3165
KODEX 코스닥150레버리지,4760
PI첨단소재,-10850
롯데리츠,776
오리온홀딩스,-4050
율촌화학,14600
KODEX 23-12 은행채(AA+이상)액티브,0
KODEX Top5PlusTR,515
삼양식품,-7100
금호타이어,1065
진에어,-177
CJ CGV,897
더블유게임즈,1600
세방,17650
이노션,-27450
명신산업,-9000
코스맥스,-73514
제이알글로벌리츠,89
ESR켄달스퀘어리츠,1278
신세계인터내셔날,-19200
바이오노트,0
KODEX MSCI Korea TR,2590
한올바이오파마,-15050
KG스틸,-2456
영원무역홀딩스,-250
태광산업,320000
한일시멘트,-120
KODEX 인버스,285
코스모화학,4173
미원상사,76873
TKG휴켐스,-19500
녹십자홀딩스,-20500
LG전자우,39150
KODEX 단기채권,835
동양생명,550
KBSTAR KIS종합채권(A-이상)액티브,2570
대상,-600
대한해운,-672
우리종금,265
HDC현대산업개발,-16424
지누스,-8446
TIGER 200 IT,13058
한화투자증권,1015
현대그린푸드,-3970
미원에스씨,110600
일동제약,16960
대신증권,6400
ARIRANG 200,7733
해성디에스,19900
세아제강지주,73150
한섬,3950
LX홀딩스,-650
현대홈쇼핑,-24100
쿠쿠홈시스,-31700
효성중공업,18100
SNT모티브,8400
LG생활건강우,-180000
세방전지,45050
보령,6040
진원생명과학,17125
부광약품,2902
영진약품,1350
넥센타이어,220
DN오토모티브,35500
한세실업,-1000
드림텍,79
동아쏘시오홀딩스,-45500
쏘카,-1650
동원F&B,-64500
KCC글라스,31850
SPC삼립,17900
파미셀,1190
화승엔터프라이즈,-11140
삼양홀딩스,2250
2596929,
